GeneID	MedianGroup0	MedianGroup1	MedianGroup2
hsa-miR-378a-3p	311.0	90.5	22.0
hsa-miR-379-5p	0.0	35.0	0.0
hsa-miR-382-5p	816.0	76.0	0.0
hsa-miR-3940-3p	49.0	0.0	0.0
hsa-miR-3960	196.0	11.0	8.5
hsa-miR-409-3p	289.0	250.5	9.0
hsa-miR-411-5p	36.0	0.0	0.0
hsa-miR-421	992.0	50.5	0.0
hsa-miR-423-3p	104.0	4125.0	635.5
hsa-miR-423-5p	96901.0	47963.0	19291.0
hsa-miR-424-3p	148.0	49.0	0.0
hsa-miR-424-5p	431.0	0.0	0.0
hsa-miR-425-3p	498.0	50.5	0.0
hsa-miR-425-5p	1012.0	2157.5	100.5
hsa-miR-432-5p	466.0	41.0	0.0
hsa-miR-4433b-3p	56.0	0.0	0.0
hsa-miR-4433b-5p	27.0	422.5	78.5
hsa-miR-4446-3p	35.0	28.5	0.0
hsa-miR-4508	149.0	61.0	0.0
hsa-miR-450a-5p	27.0	0.0	0.0
hsa-miR-451a	3957.0	195238.0	3163.5
hsa-miR-454-3p	75.0	33.5	0.0
hsa-miR-454-5p	0.0	27.0	0.0
hsa-miR-4685-3p	0.0	28.5	0.0
hsa-miR-4732-3p	84.0	675.5	0.0
hsa-miR-4732-5p	1598.0	425.0	102.5
hsa-miR-483-3p	9.0	87.0	16.5
hsa-miR-483-5p	641.0	438.0	335.5
hsa-miR-484	303.0	4288.0	420.0
hsa-miR-485-3p	0.0	31.0	0.0
hsa-miR-485-5p	48.0	10.5	0.0
hsa-miR-486-3p	2673.5	1672.75	15.5
hsa-miR-486-5p	564980.5	535704.75	59372.0
hsa-miR-497-5p	27.0	0.0	0.0
hsa-miR-499a-5p	63.0	0.0	0.0
hsa-miR-500a-3p	0.0	185.5	0.0
hsa-miR-501-3p	27.0	379.5	26.5
hsa-miR-5010-5p	267.0	93.5	0.0
hsa-miR-502-3p	0.0	259.0	3.5
hsa-miR-503-5p	186.0	119.0	0.0
hsa-miR-505-3p	27.0	60.0	0.0
hsa-miR-505-5p	842.0	5.0	0.0
hsa-miR-532-3p	40.0	0.0	0.0
hsa-miR-532-5p	723.0	91.5	0.0
hsa-miR-548ad-5p	24.0	0.0	0.0
hsa-miR-548ae-5p	24.0	0.0	0.0
hsa-miR-548am-5p	37.0	0.0	0.0
hsa-miR-548au-5p	28.0	0.0	0.0
hsa-miR-548ay-5p	27.0	0.0	0.0
hsa-miR-548c-5p	37.0	0.0	0.0
hsa-miR-548d-5p	32.0	0.0	0.0
hsa-miR-548o-5p	37.0	0.0	0.0
hsa-miR-548q	12.0	0.0	0.0
hsa-miR-550a-3-5p	116.0	30.33333333333335	0.0
hsa-miR-550a-5p	137.0	41.5	0.0
hsa-miR-574-3p	65.0	135.5	15.5
